type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-18 16:50:25.000,26.41607333,-80.16456500,1.60,28.052,-27.752,0.000,,14,18,,Garbage
W,2026-07-18 17:06:28.000,26.41656833,-80.17012167,1.40,16.629,-27.729,0.000,,14,16,,Site3
T,2026-07-18 16:50:25.000,26.41607333,-80.16456500,1.60,28.052,-27.752,0.000,,14,18,20260718-125025,GPS Logger: 20260718-125025 - Garbage-ST-3
T,2026-07-18 16:50:26.000,26.41607333,-80.16456500,1.60,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:27.000,26.41607333,-80.16456500,1.60,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:28.000,26.41607333,-80.16456500,1.60,28.052,-27.752,0.000,,13,18,,
T,2026-07-18 16:50:29.000,26.41607333,-80.16456500,1.60,28.052,-27.752,0.000,,13,18,,
T,2026-07-18 16:50:30.000,26.41607333,-80.16456500,1.60,28.052,-27.752,0.000,,13,18,,
T,2026-07-18 16:50:31.000,26.41607333,-80.16456500,1.70,28.052,-27.752,0.000,,13,18,,
T,2026-07-18 16:50:32.000,26.41607333,-80.16456500,1.70,28.052,-27.752,0.000,,13,18,,
T,2026-07-18 16:50:33.000,26.41607333,-80.16456500,1.80,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:34.000,26.41607333,-80.16456500,1.80,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:35.000,26.41607333,-80.16456500,1.80,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:36.000,26.41607333,-80.16456500,1.80,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:37.000,26.41607333,-80.16456500,1.80,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:38.000,26.41607333,-80.16456500,1.80,28.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:39.000,26.41607000,-80.16454167,1.90,26.752,-27.752,0.263,36,14,18,,
T,2026-07-18 16:50:40.000,26.41606833,-80.16454000,1.90,26.052,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:41.000,26.41606667,-80.16454167,1.90,25.352,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:42.000,26.41606333,-80.16454333,1.90,24.752,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:43.000,26.41606333,-80.16454333,1.90,24.752,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:44.000,26.41605500,-80.16454333,2.00,23.652,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:45.000,26.41605667,-80.16454667,2.00,23.152,-27.752,0.429,163,14,18,,
T,2026-07-18 16:50:46.000,26.41604833,-80.16455000,2.00,22.852,-27.752,0.450,157,14,18,,
T,2026-07-18 16:50:47.000,26.41605167,-80.16455833,1.90,22.652,-27.752,0.435,184,14,18,,
T,2026-07-18 16:50:48.000,26.41605167,-80.16456667,1.90,22.552,-27.752,0.434,175,14,18,,
T,2026-07-18 16:50:49.000,26.41605000,-80.16457333,1.90,22.552,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:50.000,26.41605000,-80.16458167,1.90,22.452,-27.752,0.000,,14,18,,
T,2026-07-18 16:50:51.000,26.41604833,-80.16458833,1.80,22.252,-27.752,0.000,,14,18,,
