type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-18 17:31:32.000,26.41656333,-80.17017667,1.50,30.929,-27.729,0.044,1,14,17,,Site3
W,2026-07-18 17:54:04.000,26.41455167,-80.16273833,1.80,20.758,-27.758,0.000,,14,18,,Site4
T,2026-07-18 17:31:27.000,26.41655667,-80.17019500,2.00,32.129,-27.729,0.162,58,12,17,20260718-133127,GPS Logger: 20260718-133127 - ST-3-4
T,2026-07-18 17:31:28.000,26.41656000,-80.17019167,1.80,31.829,-27.729,0.046,149,12,17,,
T,2026-07-18 17:31:29.000,26.41656000,-80.17018667,1.70,31.529,-27.729,0.066,67,14,17,,
T,2026-07-18 17:31:30.000,26.41656000,-80.17018333,1.60,31.329,-27.729,0.097,116,14,17,,
T,2026-07-18 17:31:31.000,26.41656167,-80.17017833,1.50,31.129,-27.729,0.065,73,14,17,,
T,2026-07-18 17:31:32.000,26.41656333,-80.17017667,1.50,30.929,-27.729,0.044,1,14,17,,
T,2026-07-18 17:31:33.000,26.41656500,-80.17017333,1.50,30.829,-27.729,0.126,291,14,17,,
T,2026-07-18 17:31:34.000,26.41656667,-80.17017167,1.40,30.729,-27.729,0.047,349,14,17,,
T,2026-07-18 17:31:35.000,26.41656833,-80.17016833,1.40,30.729,-27.729,0.164,27,14,17,,
T,2026-07-18 17:31:36.000,26.41657000,-80.17016667,1.40,30.729,-27.729,0.085,12,14,17,,
T,2026-07-18 17:31:37.000,26.41657167,-80.17016500,1.40,30.729,-27.729,0.073,73,14,17,,
T,2026-07-18 17:31:38.000,26.41657167,-80.17016333,1.40,30.829,-27.729,0.046,84,14,17,,
T,2026-07-18 17:31:39.000,26.41657167,-80.17016167,1.40,30.829,-27.729,0.037,57,14,17,,
T,2026-07-18 17:31:40.000,26.41657000,-80.17016167,1.40,30.929,-27.729,0.033,299,14,17,,
T,2026-07-18 17:31:41.000,26.41657000,-80.17016333,1.40,30.929,-27.729,0.143,277,14,17,,
T,2026-07-18 17:31:42.000,26.41657000,-80.17016333,1.40,30.929,-27.729,0.106,284,14,17,,
T,2026-07-18 17:31:43.000,26.41656833,-80.17016667,1.40,31.029,-27.729,0.085,263,14,17,,
T,2026-07-18 17:31:44.000,26.41656833,-80.17016667,1.50,31.029,-27.729,0.083,124,14,17,,
T,2026-07-18 17:31:45.000,26.41656833,-80.17016667,1.50,31.129,-27.729,0.074,227,14,17,,
T,2026-07-18 17:31:46.000,26.41656833,-80.17016833,1.50,31.029,-27.729,0.074,237,14,17,,
T,2026-07-18 17:31:47.000,26.41656667,-80.17017333,1.50,31.029,-27.729,0.083,252,14,17,,
T,2026-07-18 17:31:48.000,26.41656500,-80.17017500,1.50,30.929,-27.729,0.082,145,14,17,,
T,2026-07-18 17:31:49.000,26.41656500,-80.17017500,1.50,30.829,-27.729,0.083,283,14,17,,
T,2026-07-18 17:31:50.000,26.41656500,-80.17017667,1.50,30.829,-27.729,0.081,77,14,17,,
T,2026-07-18 17:31:51.000,26.41656500,-80.17017667,1.40,30.729,-27.729,0.074,63,14,17,,
T,2026-07-18 17:31:52.000,26.41656667,-80.17017500,1.40,30.529,-27.729,0.065,214,14,17,,
T,2026-07-18 17:31:53.000,26.41656667,-80.17017500,1.40,30.429,-27.729,0.060,337,14,17,,
T,2026-07-18 17:31:54.000,26.41656833,-80.17017333,1.40,30.029,-27.729,0.061,337,14,17,,
T,2026-07-18 17:31:55.000,26.41657000,-80.17017167,1.40,29.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:31:56.000,26.41657000,-80.17017167,1.50,29.129,-27.729,0.000,,14,17,,
T,2026-07-18 17:31:57.000,26.41657167,-80.17017000,1.50,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:31:58.000,26.41657167,-80.17017000,1.50,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:31:59.000,26.41657167,-80.17017000,1.50,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:00.000,26.41657167,-80.17017000,1.60,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:01.000,26.41657167,-80.17017000,1.60,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:02.000,26.41657167,-80.17017000,1.60,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:03.000,26.41657167,-80.17017000,1.60,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:04.000,26.41657167,-80.17017000,1.60,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:05.000,26.41657167,-80.17017000,1.60,28.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:06.000,26.41657167,-80.17017000,1.60,28.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:07.000,26.41656333,-80.17016333,1.70,22.429,-27.729,0.154,157,14,17,,
T,2026-07-18 17:32:08.000,26.41656333,-80.17016167,1.70,21.929,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:09.000,26.41656500,-80.17016333,1.60,21.229,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:10.000,26.41656667,-80.17016500,1.60,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:11.000,26.41656667,-80.17016500,1.60,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:12.000,26.41656667,-80.17016500,1.60,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:13.000,26.41656667,-80.17016500,1.60,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:14.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:15.000,26.41656667,-80.17016500,1.60,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:16.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:17.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:18.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:19.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:20.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:21.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:22.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:23.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:24.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:25.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:26.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:27.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:28.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:29.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:30.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:31.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:32.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:33.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:34.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:35.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:36.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:37.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:38.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:39.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:40.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:41.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:42.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:43.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:44.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:45.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:46.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,13,17,,
T,2026-07-18 17:32:47.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:48.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:49.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:50.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:51.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:52.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:53.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:54.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:55.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:56.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:57.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:58.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:32:59.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:33:00.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:33:01.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
T,2026-07-18 17:33:02.000,26.41656667,-80.17016500,1.50,20.629,-27.729,0.000,,14,17,,
