type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-18 18:16:46.000,26.41063500,-80.16101833,2.00,14.663,-27.763,0.089,75,15,20,,Gate
W,2026-07-18 18:30:08.000,26.42368167,-80.15281833,1.60,9.204,-27.804,0.000,,15,19,,Site1
W,2026-07-18 18:48:46.000,26.41649833,-80.17008667,2.40,15.429,-27.729,0.000,,16,21,,Site2
W,2026-07-18 19:00:57.000,26.40989500,-80.16668833,1.80,17.639,-27.739,0.000,,16,22,,Site3
W,2026-07-18 19:15:04.000,26.41592333,-80.16348333,3.20,21.956,-27.756,0.000,,13,21,,Receiving
T,2026-07-18 18:16:42.000,26.41061500,-80.16111167,3.10,3.563,-27.763,0.231,241,12,20,20260718-141642,GPS Logger: 20260718-141642 - Global path
T,2026-07-18 18:16:43.000,26.41061333,-80.16110333,2.70,4.863,-27.763,0.091,213,14,20,,
T,2026-07-18 18:16:44.000,26.41062667,-80.16106167,2.40,9.963,-27.763,0.033,347,13,20,,
T,2026-07-18 18:16:45.000,26.41063333,-80.16103000,2.10,13.463,-27.763,0.176,102,15,20,,
T,2026-07-18 18:16:46.000,26.41063500,-80.16101833,2.00,14.663,-27.763,0.089,75,15,20,,
T,2026-07-18 18:16:47.000,26.41063833,-80.16101167,1.90,15.563,-27.763,0.043,334,15,20,,
T,2026-07-18 18:16:48.000,26.41063833,-80.16101167,1.80,15.663,-27.763,0.148,42,15,20,,
T,2026-07-18 18:16:49.000,26.41063333,-80.16101167,1.80,15.863,-27.763,0.085,112,14,20,,
T,2026-07-18 18:16:50.000,26.41063167,-80.16101167,1.70,15.663,-27.763,0.238,91,14,20,,
T,2026-07-18 18:16:51.000,26.41063000,-80.16101000,1.70,15.663,-27.763,0.126,199,14,20,,
T,2026-07-18 18:16:52.000,26.41062500,-80.16101000,1.60,15.663,-27.763,0.110,212,14,20,,
T,2026-07-18 18:16:53.000,26.41062000,-80.16101333,1.60,15.363,-27.763,0.228,212,15,20,,
T,2026-07-18 18:16:54.000,26.41061667,-80.16101500,1.60,15.163,-27.763,0.065,185,15,20,,
T,2026-07-18 18:16:55.000,26.41061167,-80.16101667,1.60,15.263,-27.763,0.142,185,14,20,,
T,2026-07-18 18:16:56.000,26.41061000,-80.16101833,1.50,15.263,-27.763,0.032,142,14,20,,
T,2026-07-18 18:16:57.000,26.41060667,-80.16102000,1.50,15.163,-27.763,0.021,251,14,20,,
T,2026-07-18 18:16:58.000,26.41060333,-80.16102167,1.50,15.063,-27.763,0.112,319,15,20,,
T,2026-07-18 18:16:59.000,26.41060333,-80.16102333,1.50,15.063,-27.763,0.109,354,13,20,,
T,2026-07-18 18:17:00.000,26.41060333,-80.16102333,1.50,15.263,-27.763,0.086,283,13,20,,
T,2026-07-18 18:17:01.000,26.41060500,-80.16102333,1.50,15.263,-27.763,0.080,182,14,20,,
T,2026-07-18 18:17:02.000,26.41060500,-80.16102333,1.50,15.163,-27.763,0.080,209,14,20,,
T,2026-07-18 18:17:03.000,26.41060667,-80.16102167,1.50,15.363,-27.763,0.065,217,13,20,,
T,2026-07-18 18:17:04.000,26.41060833,-80.16102167,1.50,15.463,-27.763,0.061,254,13,20,,
