type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-24 12:03:58.000,26.41606000,-80.16462167,2.50,2.851,-27.751,0.187,25,12,23,,Maintenance
W,2026-07-24 12:09:21.000,26.41484833,-80.16356667,1.40,3.555,-27.755,0.764,167,17,24,,Int1
W,2026-07-24 12:09:45.000,26.41451833,-80.16359000,1.80,10.155,-27.755,2.670,216,17,24,,Int2
W,2026-07-24 12:10:59.000,26.41279333,-80.16157167,1.60,2.962,-27.762,3.653,153,18,24,,Int4
W,2026-07-24 12:11:42.000,26.41326167,-80.16037167,1.90,10.067,-27.767,3.552,80,17,24,,Int4
W,2026-07-24 12:16:12.000,26.41309500,-80.15518167,1.60,9.889,-27.789,0.000,,17,23,,Int5
W,2026-07-24 12:17:03.000,26.41328333,-80.15468333,1.50,8.791,-27.791,0.000,,18,22,,Station1
T,2026-07-24 12:03:55.000,26.41607833,-80.16462833,2.70,3.951,-27.751,0.238,190,13,23,20260724-080355,GPS Logger: 20260724-080355 - Maintenance to Station1
T,2026-07-24 12:03:56.000,26.41607333,-80.16462667,2.60,2.651,-27.751,0.154,78,12,23,,
T,2026-07-24 12:03:57.000,26.41606833,-80.16462667,2.50,2.151,-27.751,0.119,291,12,23,,
T,2026-07-24 12:03:58.000,26.41606000,-80.16462167,2.50,2.851,-27.751,0.187,25,12,23,,
T,2026-07-24 12:03:59.000,26.41605333,-80.16462167,2.40,3.151,-27.751,0.149,19,13,23,,
T,2026-07-24 12:04:00.000,26.41604667,-80.16462333,2.40,3.351,-27.751,0.000,,13,23,,
T,2026-07-24 12:04:01.000,26.41604000,-80.16462167,2.30,3.351,-27.751,0.159,185,13,23,,
T,2026-07-24 12:04:02.000,26.41603167,-80.16461833,2.30,3.851,-27.751,0.000,,13,23,,
T,2026-07-24 12:04:03.000,26.41602667,-80.16461667,2.30,3.851,-27.751,0.000,,13,23,,
T,2026-07-24 12:04:04.000,26.41602500,-80.16461500,2.30,3.951,-27.751,0.166,160,13,23,,
T,2026-07-24 12:04:05.000,26.41602500,-80.16461333,2.20,4.251,-27.751,0.155,116,14,23,,
T,2026-07-24 12:04:06.000,26.41602667,-80.16461167,2.20,4.851,-27.751,0.150,86,14,23,,
T,2026-07-24 12:04:07.000,26.41602500,-80.16461000,2.10,5.551,-27.751,0.147,177,12,23,,
T,2026-07-24 12:04:08.000,26.41603167,-80.16460833,2.10,5.751,-27.751,0.134,129,13,23,,
T,2026-07-24 12:04:09.000,26.41602833,-80.16460667,2.10,6.751,-27.751,0.127,127,13,23,,
T,2026-07-24 12:04:10.000,26.41602500,-80.16460833,2.10,7.251,-27.751,0.000,,11,23,,
T,2026-07-24 12:04:11.000,26.41602167,-80.16461000,2.10,7.651,-27.751,0.000,,11,23,,
T,2026-07-24 12:04:12.000,26.41601667,-80.16460833,2.10,8.151,-27.751,0.121,156,13,23,,
T,2026-07-24 12:04:13.000,26.41601500,-80.16461000,2.20,8.451,-27.751,0.119,185,12,23,,
T,2026-07-24 12:04:14.000,26.41601333,-80.16461167,2.20,8.651,-27.751,0.000,,13,23,,
T,2026-07-24 12:04:15.000,26.41601167,-80.16461500,2.20,8.951,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:16.000,26.41600667,-80.16461333,2.20,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:17.000,26.41600667,-80.16461333,2.20,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:18.000,26.41600667,-80.16461333,2.20,9.251,-27.751,0.000,,13,23,,
T,2026-07-24 12:04:19.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:20.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:21.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:22.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:23.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:24.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:25.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:26.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
T,2026-07-24 12:04:27.000,26.41600667,-80.16461333,2.30,9.251,-27.751,0.000,,14,23,,
