type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-24 14:32:28.000,26.42372000,-80.15280167,1.90,4.804,-27.804,1.769,135,16,21,,Station2
W,2026-07-24 14:41:47.000,26.41588000,-80.16338333,2.40,10.156,-27.756,0.000,,16,20,,Golf cart center
T,2026-07-24 14:32:09.000,26.42351167,-80.15276333,1.60,5.504,-27.804,0.000,,11,21,20260724-103209,GPS Logger: 20260724-103209 - ST2-GolfCartCenter
T,2026-07-24 14:32:10.000,26.42351167,-80.15276000,1.60,5.504,-27.804,0.000,,11,21,,
T,2026-07-24 14:32:11.000,26.42351167,-80.15276000,1.60,5.504,-27.804,0.000,,12,21,,
T,2026-07-24 14:32:12.000,26.42351167,-80.15276000,1.60,5.504,-27.804,0.000,,12,21,,
T,2026-07-24 14:32:13.000,26.42351167,-80.15276000,1.60,5.504,-27.804,0.000,,12,21,,
T,2026-07-24 14:32:14.000,26.42351167,-80.15276000,1.60,5.504,-27.804,0.000,,12,21,,
T,2026-07-24 14:32:15.000,26.42351167,-80.15276000,1.60,5.504,-27.804,0.000,,12,21,,
T,2026-07-24 14:32:16.000,26.42351167,-80.15276000,1.70,5.504,-27.804,0.000,,12,21,,
T,2026-07-24 14:32:17.000,26.42351167,-80.15276000,1.90,5.504,-27.804,0.000,,12,21,,
T,2026-07-24 14:32:18.000,26.42356500,-80.15279000,1.90,5.304,-27.804,0.640,335,11,21,,
T,2026-07-24 14:32:19.000,26.42360333,-80.15280000,2.00,5.104,-27.804,0.947,340,11,21,,
T,2026-07-24 14:32:20.000,26.42363667,-80.15280833,1.90,4.704,-27.804,1.228,353,11,21,,
T,2026-07-24 14:32:21.000,26.42366333,-80.15281500,1.80,4.704,-27.804,1.521,350,16,21,,
T,2026-07-24 14:32:22.000,26.42368833,-80.15281500,2.10,4.704,-27.804,1.791,358,16,21,,
T,2026-07-24 14:32:23.000,26.42370833,-80.15281500,2.30,4.704,-27.804,2.013,360,16,21,,
T,2026-07-24 14:32:24.000,26.42371333,-80.15280833,2.20,4.604,-27.804,2.179,9,16,21,,
T,2026-07-24 14:32:25.000,26.42372000,-80.15280667,2.20,4.704,-27.804,2.285,15,16,21,,
T,2026-07-24 14:32:26.000,26.42372333,-80.15280500,2.20,4.904,-27.804,2.268,152,16,21,,
T,2026-07-24 14:32:27.000,26.42372167,-80.15279833,2.00,5.104,-27.804,2.049,296,16,21,,
T,2026-07-24 14:32:28.000,26.42372000,-80.15280167,1.90,4.804,-27.804,1.769,135,16,21,,
T,2026-07-24 14:32:29.000,26.42371500,-80.15280500,1.80,4.704,-27.804,1.467,242,16,21,,
T,2026-07-24 14:32:30.000,26.42371167,-80.15281167,1.70,4.604,-27.804,1.191,269,16,21,,
T,2026-07-24 14:32:31.000,26.42371333,-80.15281667,1.70,4.504,-27.804,0.902,269,16,21,,
T,2026-07-24 14:32:32.000,26.42371000,-80.15281833,1.70,4.404,-27.804,0.635,236,16,21,,
T,2026-07-24 14:32:33.000,26.42371000,-80.15282167,1.70,4.404,-27.804,0.427,258,16,21,,
T,2026-07-24 14:32:34.000,26.42370833,-80.15282333,1.70,4.504,-27.804,0.000,,16,21,,
T,2026-07-24 14:32:35.000,26.42370833,-80.15282500,1.70,4.504,-27.804,0.000,,16,21,,
T,2026-07-24 14:32:36.000,26.42370667,-80.15282667,1.70,4.504,-27.804,0.000,,16,21,,
T,2026-07-24 14:32:37.000,26.42370667,-80.15282667,1.70,4.504,-27.804,0.000,,16,21,,
T,2026-07-24 14:32:38.000,26.42370667,-80.15282667,1.70,4.504,-27.804,0.000,,16,21,,
T,2026-07-24 14:32:39.000,26.42370667,-80.15282667,1.70,4.504,-27.804,0.000,,16,21,,
T,2026-07-24 14:32:40.000,26.42366833,-80.15281833,1.80,4.104,-27.804,0.417,172,16,21,,
T,2026-07-24 14:32:41.000,26.42363833,-80.15281500,1.90,4.104,-27.804,0.668,174,16,21,,
T,2026-07-24 14:32:42.000,26.42360500,-80.15280833,2.00,4.004,-27.804,0.949,175,16,21,,
T,2026-07-24 14:32:43.000,26.42357500,-80.15279667,2.00,3.904,-27.804,1.217,161,16,21,,
T,2026-07-24 14:32:44.000,26.42355500,-80.15278333,2.00,3.904,-27.804,1.413,155,15,21,,
T,2026-07-24 14:32:45.000,26.42354000,-80.15277333,1.90,3.904,-27.804,1.542,155,16,21,,
T,2026-07-24 14:32:46.000,26.42353167,-80.15277000,1.90,3.904,-27.804,1.621,171,16,21,,
T,2026-07-24 14:32:47.000,26.42352833,-80.15276833,1.90,4.004,-27.804,1.613,47,15,21,,
T,2026-07-24 14:32:48.000,26.42352833,-80.15276833,2.00,3.904,-27.804,1.595,190,15,21,,
T,2026-07-24 14:32:49.000,26.42352667,-80.15277000,1.80,4.104,-27.804,1.541,300,15,21,,
T,2026-07-24 14:32:50.000,26.42352333,-80.15277167,1.80,4.004,-27.804,1.353,291,15,21,,
T,2026-07-24 14:32:51.000,26.42352333,-80.15277167,1.80,3.904,-27.804,1.096,301,15,21,,
T,2026-07-24 14:32:52.000,26.42352333,-80.15277000,1.70,3.904,-27.804,0.814,3,15,21,,
T,2026-07-24 14:32:53.000,26.42352167,-80.15277500,1.70,3.804,-27.804,0.554,273,15,21,,
T,2026-07-24 14:32:54.000,26.42352167,-80.15278000,1.60,3.504,-27.804,0.000,,15,21,,
T,2026-07-24 14:32:55.000,26.42351333,-80.15279000,1.60,3.404,-27.804,0.404,228,14,21,,
T,2026-07-24 14:32:56.000,26.42350000,-80.15280167,1.70,3.504,-27.804,0.463,194,14,21,,
T,2026-07-24 14:32:57.000,26.42348833,-80.15280333,1.80,3.504,-27.804,0.594,200,15,21,,
T,2026-07-24 14:32:58.000,26.42347500,-80.15281167,1.90,3.604,-27.804,0.759,216,15,21,,
T,2026-07-24 14:32:59.000,26.42346167,-80.15282500,2.00,3.804,-27.804,0.946,221,15,21,,
T,2026-07-24 14:33:00.000,26.42344833,-80.15282833,1.90,3.704,-27.804,1.090,205,15,21,,
T,2026-07-24 14:33:01.000,26.42343833,-80.15284167,1.90,3.404,-27.804,1.271,230,15,21,,
T,2026-07-24 14:33:02.000,26.42342833,-80.15285500,1.90,2.904,-27.804,1.456,236,16,21,,
T,2026-07-24 14:33:03.000,26.42342000,-80.15286667,1.90,2.004,-27.804,1.609,242,15,21,,
T,2026-07-24 14:33:04.000,26.42341167,-80.15288667,1.80,1.904,-27.804,1.764,231,14,21,,
T,2026-07-24 14:33:05.000,26.42339833,-80.15290167,1.80,0.904,-27.804,1.826,230,16,21,,
T,2026-07-24 14:33:06.000,26.42338333,-80.15291667,1.90,0.304,-27.804,1.885,235,16,21,,
T,2026-07-24 14:33:07.000,26.42337000,-80.15293167,1.90,-0.196,-27.804,1.972,233,16,21,,
T,2026-07-24 14:33:08.000,26.42335500,-80.15295167,1.90,-0.496,-27.804,2.038,240,16,21,,
T,2026-07-24 14:33:09.000,26.42334167,-80.15297500,1.80,-0.897,-27.803,2.096,240,17,21,,
T,2026-07-24 14:33:10.000,26.42332833,-80.15299833,1.80,-1.097,-27.803,2.215,246,17,21,,
T,2026-07-24 14:33:11.000,26.42331167,-80.15302333,1.80,-1.097,-27.803,2.279,242,17,21,,
T,2026-07-24 14:33:12.000,26.42329667,-80.15305667,1.80,-0.797,-27.803,2.429,245,17,21,,
T,2026-07-24 14:33:13.000,26.42328333,-80.15308833,1.90,-0.597,-27.803,2.553,251,17,21,,
T,2026-07-24 14:33:14.000,26.42327167,-80.15311667,2.10,-0.497,-27.803,2.627,246,17,21,,
T,2026-07-24 14:33:15.000,26.42326000,-80.15314000,2.20,-0.397,-27.803,2.651,238,17,21,,
T,2026-07-24 14:33:16.000,26.42324500,-80.15315333,1.90,-0.197,-27.803,2.674,239,17,21,,
T,2026-07-24 14:33:17.000,26.42323333,-80.15317167,1.80,-0.297,-27.803,2.646,228,17,21,,
T,2026-07-24 14:33:18.000,26.42321833,-80.15318500,1.70,-0.297,-27.803,2.610,221,17,21,,
T,2026-07-24 14:33:19.000,26.42320167,-80.15319667,1.70,0.102,-27.802,2.568,201,17,21,,
T,2026-07-24 14:33:20.000,26.42318333,-80.15320500,1.70,-0.098,-27.802,2.507,202,17,21,,
T,2026-07-24 14:33:21.000,26.42316333,-80.15320500,1.70,0.502,-27.802,2.517,171,17,21,,
T,2026-07-24 14:33:22.000,26.42314167,-80.15320333,2.00,0.902,-27.802,2.399,165,17,21,,
T,2026-07-24 14:33:23.000,26.42312500,-80.15320333,2.10,1.102,-27.802,2.283,181,17,21,,
T,2026-07-24 14:33:24.000,26.42311167,-80.15320333,2.20,1.302,-27.802,2.174,181,17,21,,
