type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-24 15:37:18.000,26.41657500,-80.17014500,1.60,8.229,-27.729,0.130,108,15,19,,Station3
W,2026-07-24 15:41:42.000,26.41624167,-80.16730000,1.60,9.040,-27.740,0.000,,13,19,,Int16
W,2026-07-24 15:42:34.000,26.41535333,-80.16586500,1.50,5.446,-27.746,1.511,119,15,19,,Int17
W,2026-07-24 15:44:30.000,26.41604833,-80.16456500,2.10,15.252,-27.752,0.000,,14,18,,Maintenance
T,2026-07-24 15:37:14.625,26.41659000,-80.17014333,1.90,8.429,-27.729,0.064,157,16,19,20260724-113714,GPS Logger: 20260724-113714 - Station3-Maintenance
T,2026-07-24 15:37:15.625,26.41658500,-80.17014667,1.70,8.429,-27.729,0.034,187,16,19,,
T,2026-07-24 15:37:17.000,26.41657833,-80.17014500,1.70,8.229,-27.729,0.145,144,16,19,,
T,2026-07-24 15:37:18.000,26.41657500,-80.17014500,1.60,8.229,-27.729,0.130,108,15,19,,
T,2026-07-24 15:37:19.000,26.41657333,-80.17014500,1.60,8.129,-27.729,0.063,91,16,19,,
T,2026-07-24 15:37:20.000,26.41657167,-80.17014833,1.60,8.129,-27.729,0.022,89,15,19,,
T,2026-07-24 15:37:21.000,26.41657000,-80.17014833,1.60,8.129,-27.729,0.021,80,15,19,,
T,2026-07-24 15:37:22.000,26.41656833,-80.17014833,1.50,8.129,-27.729,0.057,107,15,19,,
T,2026-07-24 15:37:23.000,26.41656833,-80.17014833,1.50,8.229,-27.729,0.061,150,15,19,,
T,2026-07-24 15:37:24.000,26.41656833,-80.17015000,1.50,8.229,-27.729,0.020,158,15,19,,
T,2026-07-24 15:37:25.000,26.41657000,-80.17015000,1.50,8.229,-27.729,0.012,70,14,19,,
T,2026-07-24 15:37:26.000,26.41657000,-80.17015167,1.50,8.329,-27.729,0.045,179,15,19,,
T,2026-07-24 15:37:27.000,26.41657000,-80.17015333,1.50,8.429,-27.729,0.038,222,15,19,,
T,2026-07-24 15:37:28.000,26.41657167,-80.17015333,1.50,8.529,-27.729,0.036,201,15,19,,
T,2026-07-24 15:37:29.000,26.41657333,-80.17015333,1.50,8.529,-27.729,0.032,147,15,19,,
T,2026-07-24 15:37:30.000,26.41657333,-80.17015500,1.50,8.629,-27.729,0.036,318,15,19,,
T,2026-07-24 15:37:31.000,26.41657500,-80.17015500,1.50,8.729,-27.729,0.041,340,15,19,,
T,2026-07-24 15:37:32.000,26.41657500,-80.17015500,1.50,8.829,-27.729,0.043,157,15,19,,
T,2026-07-24 15:37:33.000,26.41657500,-80.17015500,1.50,8.929,-27.729,0.082,125,15,19,,
T,2026-07-24 15:37:34.000,26.41657333,-80.17015333,1.60,8.929,-27.729,0.096,130,15,19,,
T,2026-07-24 15:37:35.000,26.41657000,-80.17015333,1.60,8.829,-27.729,0.102,327,15,19,,
T,2026-07-24 15:37:36.000,26.41657167,-80.17015500,1.60,8.929,-27.729,0.102,254,15,19,,
T,2026-07-24 15:37:37.000,26.41657000,-80.17015667,1.60,9.129,-27.729,0.113,138,15,19,,
T,2026-07-24 15:37:38.000,26.41657000,-80.17015833,1.60,8.929,-27.729,0.114,20,15,19,,
T,2026-07-24 15:37:39.000,26.41656667,-80.17015667,1.50,8.829,-27.729,0.000,,15,19,,
T,2026-07-24 15:37:40.000,26.41656667,-80.17015667,1.50,9.029,-27.729,0.000,,15,19,,
T,2026-07-24 15:37:41.000,26.41656500,-80.17015500,1.50,8.929,-27.729,0.000,,15,19,,
T,2026-07-24 15:37:42.000,26.41656500,-80.17015500,1.50,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:43.000,26.41656500,-80.17015500,1.50,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:44.000,26.41656500,-80.17015500,1.50,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:45.000,26.41656500,-80.17015500,1.50,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:46.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:47.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:48.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:49.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:50.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:51.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:52.000,26.41656500,-80.17015500,1.70,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:53.000,26.41656500,-80.17015500,1.70,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:54.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:55.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:56.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:57.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:58.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:37:59.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:38:00.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:38:01.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:38:02.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,15,19,,
T,2026-07-24 15:38:03.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,15,19,,
T,2026-07-24 15:38:04.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,15,19,,
T,2026-07-24 15:38:05.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:38:06.000,26.41656500,-80.17015500,1.70,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:38:07.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,14,19,,
T,2026-07-24 15:38:08.000,26.41656500,-80.17015500,1.60,8.929,-27.729,0.000,,15,19,,
T,2026-07-24 15:38:09.000,26.41656500,-80.17015500,1.50,8.929,-27.729,0.000,,15,19,,
