type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-24 16:37:15.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,Maintenance
W,2026-07-24 16:42:59.000,26.41656000,-80.17015167,1.40,5.829,-27.729,0.000,,13,16,,Station3
T,2026-07-24 16:37:13.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,11,17,20260724-123713,GPS Logger: 20260724-123713 - Maintenance-ST3
T,2026-07-24 16:37:14.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,11,17,,
T,2026-07-24 16:37:15.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:16.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:17.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:18.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:19.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:20.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,11,17,,
T,2026-07-24 16:37:21.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,11,17,,
T,2026-07-24 16:37:22.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,11,17,,
T,2026-07-24 16:37:23.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,11,17,,
T,2026-07-24 16:37:24.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,11,17,,
T,2026-07-24 16:37:25.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:26.000,26.41609333,-80.16454667,1.80,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:27.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:28.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:29.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:30.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,12,17,,
T,2026-07-24 16:37:31.000,26.41609333,-80.16454667,1.70,13.452,-27.752,0.000,,11,17,,
