type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-24 17:54:58.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,Station 4
W,2026-07-24 18:05:12.000,26.41094333,-80.16585333,1.50,18.743,-27.743,0.000,,17,18,,Int19
W,2026-07-24 18:07:00.000,26.41258000,-80.16404000,1.60,13.152,-27.752,1.558,14,17,18,,Int20
W,2026-07-24 18:08:36.000,26.41264500,-80.16154000,1.40,12.562,-27.762,0.000,,14,18,,Intxxx
W,2026-07-24 18:17:45.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,Gate
T,2026-07-24 17:54:56.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,16,19,20260724-135456,GPS Logger: 20260724-135456 - ST4-Gate
T,2026-07-24 17:54:57.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,16,19,,
T,2026-07-24 17:54:58.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:54:59.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:00.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:01.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:02.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:03.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:04.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:05.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:06.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:07.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:08.000,26.40988333,-80.16669333,1.60,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:09.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:10.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:11.000,26.40988333,-80.16669333,1.60,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:12.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:13.000,26.40988333,-80.16669333,1.50,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:14.000,26.40988333,-80.16669333,1.60,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:15.000,26.40988333,-80.16669333,1.60,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:16.000,26.40988333,-80.16669333,1.60,12.739,-27.739,0.000,,16,19,,
T,2026-07-24 17:55:17.000,26.40988333,-80.16669333,1.60,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:18.000,26.40988333,-80.16669333,1.60,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:19.000,26.40988333,-80.16669333,1.70,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:20.000,26.40988333,-80.16669333,1.70,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:21.000,26.40988333,-80.16669333,1.70,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:22.000,26.40988333,-80.16669333,1.70,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:23.000,26.40988333,-80.16669333,1.70,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:24.000,26.40988333,-80.16669333,1.70,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:25.000,26.40988333,-80.16669333,1.70,12.739,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:26.000,26.40986667,-80.16670333,1.70,12.239,-27.739,0.295,226,16,19,,
T,2026-07-24 17:55:27.000,26.40986500,-80.16670167,1.60,12.339,-27.739,0.324,210,16,19,,
T,2026-07-24 17:55:28.000,26.40986500,-80.16670000,1.60,12.239,-27.739,0.000,,16,19,,
T,2026-07-24 17:55:29.000,26.40986333,-80.16670333,1.60,12.039,-27.739,0.000,,16,19,,
T,2026-07-24 17:55:30.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:31.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,17,19,,
T,2026-07-24 17:55:32.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,15,19,,
T,2026-07-24 17:55:33.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,16,19,,
T,2026-07-24 17:55:34.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,16,19,,
T,2026-07-24 17:55:35.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,15,19,,
T,2026-07-24 17:55:36.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,15,19,,
T,2026-07-24 17:55:37.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,16,19,,
T,2026-07-24 17:55:38.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,15,19,,
T,2026-07-24 17:55:39.000,26.40986333,-80.16670333,1.60,11.839,-27.739,0.000,,16,19,,
T,2026-07-24 17:55:40.000,26.40986833,-80.16667667,1.70,11.039,-27.739,0.235,90,17,19,,
T,2026-07-24 17:55:41.000,26.40986667,-80.16667000,1.70,10.840,-27.740,0.283,92,17,19,,
T,2026-07-24 17:55:42.000,26.40986500,-80.16666500,1.80,10.740,-27.740,0.333,98,17,19,,
T,2026-07-24 17:55:43.000,26.40986500,-80.16665333,1.80,10.640,-27.740,0.387,91,16,19,,
T,2026-07-24 17:55:44.000,26.40986333,-80.16664500,1.90,10.440,-27.740,0.450,93,16,19,,
T,2026-07-24 17:55:45.000,26.40986333,-80.16663500,1.90,10.240,-27.740,0.523,94,16,19,,
T,2026-07-24 17:55:46.000,26.40986500,-80.16662333,1.90,10.140,-27.740,0.594,89,16,19,,
T,2026-07-24 17:55:47.000,26.40986500,-80.16661500,2.00,9.640,-27.740,0.692,92,16,19,,
T,2026-07-24 17:55:48.000,26.40986500,-80.16660000,1.90,9.440,-27.740,0.814,89,17,19,,
