type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2026-07-24 18:18:07.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,14,21,,Gate
W,2026-07-24 18:23:40.000,26.41459667,-80.16271667,1.60,14.458,-27.758,0.802,129,17,21,,Station5
T,2026-07-24 18:18:04.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,14,21,20260724-141804,GPS Logger: 20260724-141804 - Gate-ST5
T,2026-07-24 18:18:05.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,14,21,,
T,2026-07-24 18:18:06.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,14,21,,
T,2026-07-24 18:18:07.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,14,21,,
T,2026-07-24 18:18:08.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,14,21,,
T,2026-07-24 18:18:09.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,14,21,,
T,2026-07-24 18:18:10.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,13,21,,
T,2026-07-24 18:18:11.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,14,21,,
T,2026-07-24 18:18:12.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:13.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:14.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:15.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:16.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:17.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:18.000,26.41065000,-80.16109667,1.80,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:19.000,26.41065000,-80.16109667,1.80,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:20.000,26.41065000,-80.16109667,1.80,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:21.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:22.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:23.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:24.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:25.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:26.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:27.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:28.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:29.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:30.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:31.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:32.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:33.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,15,21,,
T,2026-07-24 18:18:34.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:35.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:36.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:37.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:38.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:39.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:40.000,26.41065000,-80.16109667,1.60,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:41.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:42.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:43.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:44.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:45.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:46.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:47.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:48.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:49.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:50.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:51.000,26.41065000,-80.16109667,1.70,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:52.000,26.41065000,-80.16109667,1.80,25.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:53.000,26.41065000,-80.16109667,1.90,25.963,-27.763,0.000,,13,21,,
T,2026-07-24 18:18:54.000,26.41068000,-80.16111000,2.00,23.563,-27.763,0.304,153,13,21,,
T,2026-07-24 18:18:55.000,26.41067833,-80.16111000,2.00,23.263,-27.763,0.000,,14,21,,
T,2026-07-24 18:18:56.000,26.41067667,-80.16111000,2.10,23.263,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:57.000,26.41066000,-80.16110167,2.00,22.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:58.000,26.41066000,-80.16110167,2.00,22.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:18:59.000,26.41066000,-80.16110167,1.90,22.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:19:00.000,26.41066000,-80.16110167,1.90,22.963,-27.763,0.000,,16,21,,
T,2026-07-24 18:19:01.000,26.41065000,-80.16110333,1.90,22.563,-27.763,0.454,179,16,21,,
T,2026-07-24 18:19:02.000,26.41064667,-80.16109667,1.90,22.363,-27.763,0.493,159,16,21,,
T,2026-07-24 18:19:03.000,26.41064167,-80.16109333,1.80,22.263,-27.763,0.534,154,16,21,,
